Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Country,State or Province,City,Postal Code
2196,Doctor. Gene Heath Cross,Small Business,Single,Male,02-05-1993,US,New York,Jamestown,14701
2382,Doctor. Geoffrey Saunders,Small Business,Single,Male,02-05-1993,United States,New York,New York City,10024
1497,Doctor. Gloria Jacobs,Corporate,Single,Male,02-05-1990,US,New York,Elmira,14901
663,Doctor. Hilda Bennett,Home Office,Single,Male,12-07-1992,U.S,Ohio,Steubenville,43952
3311,Doctor. Jackie Flynn,Small Business,Married,Male,02-05-1992,US,Massachusetts,Winchester,1890
1885,Doctor. Jacob Hirsch,Home Office,Single,Male,02-05-1992,U.S,Rhode Island,Barrington,2806
855,Doctor. Jacob Lanier,Corporate,Single,Male,02-05-1993,U.S,Connecticut,Danbury,6810
2507,Doctor. Jeanette Davies,Home Office,Single,Male,02-05-1991,U.S,Maine,Bangor,4401
1380,Doctor. Jeanne Walker,Home Office,Single,Male,02-05-1989,United States,New Hampshire,Portsmouth,3801
899,Doctor. Jordan Berry,Small Business,Single,Female,02-05-1992,US,Pennsylvania,Altoona,16602
351,Doctor. Juanita Coley Knox,Home Office,Single,Female,12-07-1990,U.S,New York,Watertown,13601
731,Doctor. June Herbert,Consumer,Single,Female,02-05-1993,US,Massachusetts,Burlington,1803
3078,Doctor. Kate McKenna,Small Business,Single,Female,02-05-1992,United States,Ohio,Toledo,43615
1607,Doctor. Kathleen Huang Hall,Home Office,Single,Female,02-05-1989,U.S,New York,Freeport,11520
1009,Doctor. Kristin George,Corporate,Single,Female,12-07-1996,United States,Maine,Saco,4072
2938,Doctor. Laurie Case Daniel,Small Business,Single,Female,02-05-1994,United States,Massachusetts,Stoneham,2180
2516,Doctor. Leo E Underwood,Home Office,Single,Female,02-05-1997,US,New Jersey,Englewood,7631
3098,Doctor. Lorraine Boykin,Consumer,Single,Female,02-05-1995,U.S,New York,Shirley,11967
1193,Doctor. Louis Parrish,Small Business,Single,Female,02-05-1992,US,District of Columbia,Washington,20016
2923,Doctor. Lynne Griffith,Consumer,Single,Female,02-05-1986,US,Maryland,Hagerstown,21740
2601,Doctor. Malcolm French,Corporate,Single,Female,02-05-1990,U.S,New Hampshire,Merrimack,3054
1028,Doctor. Marguerite Rodgers,Small Business,Single,Female,02-05-1992,U.S,New York,Commack,11725
1340,Doctor. Marie Bass,Home Office,Single,Female,02-05-1994,US,New York,New York City,10170
469,Doctor. Marion Bowling,Small Business,Single,Female,12-07-1995,US,New Jersey,Hawthorne,7506
579,Doctor. Marlene Abrams,Corporate,Single,Female,02-05-1994,U.S,Connecticut,Seymour,6478
2549,Doctor. Martha Bowers,Small Business,Single,Female,02-05-1999,United States,Ohio,Whitehall,43213
1639,Doctor. Marvin Rollins,Home Office,Single,Female,02-05-1994,US,Connecticut,Stamford,6901
1733,Doctor. Nina Horne Kelly,Small Business,Single,Female,02-05-1996,US,District of Columbia,Washington,20012
2667,Doctor. Pat Baker,Home Office,Single,Female,02-05-1997,United States,Ohio,Lakewood,44107
3251,Doctor. Peter Brooks,Corporate,Single,Female,02-05-1996,United States,New York,New York City,10112
997,Doctor. Phillip Pollard,Small Business,Single,Female,02-05-1992,US,New Jersey,Bayonne,7002
3367,Doctor. Renee McKenzie,Home Office,Single,Female,02-05-1997,United States,Ohio,Upper Arlington,43221
371,Doctor. Roberta Mullins Peters,Corporate,Single,Female,02-05-1998,US,Massachusetts,Everett,2149
275,Doctor. Roger Blalock Cassidy,Corporate,Single,Female,02-05-1993,U.S,Connecticut,Fairfield,6824
488,Doctor. Ronnie Creech,Corporate,Single,Female,02-05-1988,United States,Maine,South Portland,4106
741,Doctor. Stacey Hale,Consumer,Single,Female,02-05-1991,United States,New Jersey,Summit,7901
2212,Doctor. Stacy Chang,Home Office,Single,Female,02-05-1996,United States,Maryland,Catonsville,21228
2709,Doctor. Stanley Steele,Consumer,Single,Female,12-07-1986,U.S,Maryland,Ellicott City,21042
2883,Doctor. Stuart Sharma,Consumer,Single,Female,02-05-1988,U.S,Ohio,North Olmsted,44070
624,Doctor. Terry Klein,Home Office,Single,Female,02-05-1996,United States,Vermont,Rutland,5701
306,Doctor. Thomas McAllister,Small Business,Single,Female,02-05-1994,US,Maryland,Pikesville,21208
1104,Doctor. Timothy Ross,Home Office,Single,Female,02-05-1993,United States,New York,New York City,10282
600,Doctor. Vickie Morse,Corporate,Single,Female,02-05-1998,US,Maryland,Reisterstown,21136
1062,Doctor. Willie Robinson,Small Business,Single,Female,12-07-1988,US,New York,Coram,11727
3079,Dr. Andrew Levine,Small Business,Married,Male,02-05-1995,United States Of America,Pennsylvania,Philadelphia,19112
211,Dr. Anna Wood,Home Office,Married,Female,02-05-1991,United States Of America,New York,Utica,13501
1159,Dr. Arlene Weeks,Consumer,Married,Male,12-08-1991,U.S.A,New Jersey,Union City,7086
2764,Dr. Arnold Johnson,Corporate,Married,Male,02-08-1993,USA,New Jersey,Hackensack,7601
858,Dr. Arthur Brady,Corporate,Married,Male,02-09-1993,U.S.A,Maine,Lewiston,4240
315,Dr. Benjamin Kaufman,Corporate,Single,Male,02-06-1994,USA,Massachusetts,Belchertown,1007
3314,Dr. Billy Hale,Small Business,Single,Female,12-09-1989,USA,New Jersey,Fort Lee,7024
339,Dr. Bobby Clements,Corporate,Single,Male,12-07-1989,United States Of America,Ohio,Columbus,43229
3067,Dr. Carole Miller,Consumer,Divorced,Male,12-09-1989,USA,Ohio,Austintown,44515
358,Dr. Chris F Brandt,Corporate,Single,Male,02-05-1989,U.S.A,Pennsylvania,King of Prussia,19406
2215,Dr. Christopher High,Corporate,Single,Female,02-11-1991,United States Of America,Ohio,Massillon,44646
1734,Dr. Christopher Meadows,Small Business,Single,Female,02-05-1991,USA,New York,Harrison,10528
2924,Dr. Courtney Nelson,Consumer,Divorced,Male,02-05-1990,USA,Maryland,Laurel,20707
1341,Dr. Edward Bynum,Home Office,Single,Male,02-05-1991,USA,Pennsylvania,Chambersburg,17201
3307,Dr. Edwin Blackburn,Small Business,Married,Male,02-05-1992,U.S.A,Massachusetts,Agawam,1001
489,Dr. Eileen Cheek,Corporate,Single,Male,02-05-1991,United States Of America,Massachusetts,Norwood,2062
1854,Dr. Erika Morgan,Home Office,Single,Male,02-05-1991,United States Of America,Connecticut,Seymour,6478
1646,Dr. Eugene Brewer Knox,Small Business,Single,Male,02-05-1993,USA,New York,Bethpage,11714
3400,Dr. Florence Gold,Small Business,Married,Male,12-07-1989,U.S.A,West Virginia,Fairmont,26554
903,Dr. Francis Spivey,Consumer,Single,Male,02-05-1993,USA,Massachusetts,Wilmington,1887
1602,Dr. Frank Hess,Home Office,Single,Male,02-05-1990,United States Of America,Maryland,Waldorf,20601
1023,Dr. Glen Newman,Small Business,Single,Male,02-05-1993,United States Of America,Pennsylvania,Wilkinsburg,15221
1197,Dr. Grace McNeill Hunt,Small Business,Single,Male,12-07-1992,USA,Massachusetts,Sudbury,1776
1228,Dr. Hazel Jennings,Small Business,Single,Male,02-05-1993,U.S.A,Pennsylvania,Philadelphia,19140
980,Dr. Howard Burnett,Corporate,Single,Male,02-05-1991,U.S.A,Vermont,South Burlington,5403
2391,Dr. Jacob McNeill,Corporate,Single,Male,02-05-1992,United States Of America,New York,Oceanside,11572
772,Dr. Jean Webster,Small Business,Single,Male,02-05-1994,United States Of America,Pennsylvania,Allentown,18103
2551,Dr. Joan Bowers,Small Business,Single,Female,02-05-1993,United States Of America,Pennsylvania,York,17403
1203,Dr. Judy Merritt,Small Business,Single,Female,02-05-1998,United States Of America,Rhode Island,Cranston,2920
406,Dr. June Frank Hammond,Small Business,Single,Female,02-05-1992,United States Of America,New Jersey,South Vineland,8360
2197,Dr. Karen O'Donnell,Small Business,Single,Female,12-07-1993,USA,New York,Levittown,11756
580,Dr. Kathryn Patrick,Corporate,Single,Female,02-05-1991,U.S.A,Maine,Auburn,4210
2685,Dr. Kathryn Wolfe,Small Business,Single,Female,02-05-1993,United States Of America,New York,Plainview,11803
2964,Dr. Kathy Hinton,Consumer,Single,Female,02-05-1994,U.S.A,Ohio,Mount Vernon,43050
1035,Dr. Kent Burton,Home Office,Single,Female,02-05-1997,U.S.A,Ohio,Delaware,43015
2352,Dr. Kerry Beach,Home Office,Single,Female,12-07-1993,USA,Maryland,Cumberland,21501
2941,Dr. Leah Pollock,Small Business,Single,Female,02-05-1988,United States Of America,New Jersey,Morristown,7960
3136,Dr. Lee Hancock,Consumer,Single,Female,12-07-1988,U.S.A,Maine,Sanford,4073
2649,Dr. Leo J Olson,Corporate,Single,Female,02-05-1998,USA,Maryland,Edgewood,21040
1725,Dr. Linda Blake,Corporate,Single,Female,02-05-1995,U.S.A,Ohio,Hilliard,43026
2279,Dr. Lucille McGee,Home Office,Single,Female,02-05-1995,U.S.A,Pennsylvania,Greensburg,15601
276,Dr. Lucille Rankin,Corporate,Single,Female,02-05-1996,U.S.A,Connecticut,Newington,6111
466,Dr. Marc Nash,Small Business,Single,Female,02-05-1996,U.S.A,Massachusetts,Bellingham,2019
144,Dr. Marguerite Moss,Small Business,Single,Female,02-05-1990,USA,Massachusetts,Yarmouth,2664
1072,Dr. Marion Owens,Corporate,Single,Female,12-07-1987,USA,Pennsylvania,Bethlehem,18018
3243,Dr. Marlene Phillips,Small Business,Single,Female,02-05-1986,USA,Connecticut,Bristol,6010
2165,Dr. Melanie Knight,Small Business,Single,Female,02-05-1986,U.S.A,Maine,Augusta,4330
736,Dr. Meredith Walters,Consumer,Single,Female,12-07-1986,USA,New Hampshire,Salem,3079
3252,Dr. Milton Harrell,Corporate,Single,Female,02-05-1988,United States Of America,New York,Rotterdam,12306
1690,Dr. Neil Bailey,Corporate,Single,Female,02-05-1997,United States Of America,Pennsylvania,Harrisburg,17112
1889,Dr. Oscar Bowers,Home Office,Single,Female,02-05-1988,U.S.A,Ohio,Kettering,45429
711,Dr. Pam Anthony,Consumer,Single,Female,02-05-1988,U.S.A,Massachusetts,Winthrop,2152
1413,Dr. Pamela Wiley,Corporate,Single,Female,02-05-1997,United States Of America,Massachusetts,Boston,2113
2817,Dr. Paul W French,Corporate,Single,Female,02-05-1991,United States Of America,Ohio,Newark,43055
2508,Dr. Pauline Brooks,Home Office,Single,Female,02-05-1994,U.S.A,Maine,Sanford,4073
2603,Dr. Penny Leach,Corporate,Single,Female,02-05-1990,U.S.A,New Jersey,Hackensack,7601
2038,Dr. Peter Adams,Small Business,Single,Female,02-05-1995,United States Of America,New York,Mount Vernon,10550
2737,Dr. Rachel Bates,Small Business,Single,Female,02-05-1987,U.S.A,Vermont,Rutland,5701
1519,Dr. Randall Boykin,Consumer,Single,Female,02-05-1991,USA,Maine,Auburn,4210
1124,Dr. Randy Jiang,Small Business,Single,Female,12-07-1993,United States Of America,Connecticut,Norwich,6360
383,Dr. Renee Alston,Corporate,Single,Female,02-05-1992,USA,Pennsylvania,Drexel Hill,19026
999,Dr. Rita Barton,Small Business,Single,Female,02-05-1988,USA,New Jersey,Ridgewood,7450
2520,Dr. Sandy Mueller,Home Office,Single,Female,02-05-1990,USA,Rhode Island,Providence,2908
627,Dr. Scott McKenna,Corporate,Single,Female,02-05-1990,United States Of America,Ohio,Steubenville,43952
3369,Dr. Stacy Byrne,Home Office,Single,Female,02-05-1995,United States Of America,Ohio,Westerville,43081
2884,Dr. Stuart C Robinson,Consumer,Single,Female,02-05-1987,U.S.A,Ohio,North Ridgeville,44039
1946,Dr. Teresa Wallace,Consumer,Single,Female,02-05-1994,USA,Pennsylvania,Mount Lebanon,15228
1472,Dr. Tommy Ellis Ritchie,Home Office,Single,Female,02-05-1993,U.S.A,Ohio,Westlake,44145
470,Dr. Tony Doyle,Small Business,Single,Female,02-05-1991,USA,New Jersey,Trenton,8601
1614,Dr. Wayne Lutz,Consumer,Single,Female,02-05-1992,U.S.A,Massachusetts,Hopkinton,1748
11,Miss. Marcus Dunlap,Home Office,Single,Female,12-07-1988,US,New Jersey,Roselle,7203
11,Miss. Marcus Dunlap,Home Office,Single,Female,12-07-1988,US,New Jersey,Roselle,7203
56,Miss. Randall Montgomery,Consumer,Single,Female,02-05-1993,United States,New York,Tonawanda,14150
56,Miss. Randall Montgomery,Consumer,Single,Female,02-05-1993,United States,New York,Tonawanda,14150
16,Miss. Sarah Ramsey,Small Business,Single,Female,02-05-1997,U.S,New York,Syracuse,13210
16,Miss. Sarah Ramsey,Small Business,Single,Female,02-05-1997,U.S,New York,Syracuse,13210
68,Miss. Scott Bunn,Corporate,Single,Female,12-07-1987,United States Of America,New York,New York City,10177
68,Miss. Scott Bunn,Corporate,Single,Female,12-07-1987,United States Of America,New York,New York City,10177
15,Miss. Timothy Reese,Small Business,Single,Female,02-05-1992,USA,New York,Smithtown,11787
15,Miss. Timothy Reese,Small Business,Single,Female,02-05-1992,USA,New York,Smithtown,11787
109,Miss. Tom McFarland,Consumer,Single,Female,02-05-1991,United States Of America,New Jersey,Lodi,7644
21,Miss. Tony Wilkins Winters,Small Business,Single,Female,02-05-1994,U.S.A,New York,New York City,10012
21,Miss. Tony Wilkins Winters,Small Business,Single,Female,02-05-1994,U.S.A,New York,New York City,10012
102,Mister Caroline Johnston,Consumer,Single,Male,02-05-1991,United States,Massachusetts,Boston,2129
3,Mister. Bonnie Potter,Corporate,Single,Male,02-06-1992,US,Washington,Anacortes,98221
940,Mr. Albert Maxwell,Home Office,Single,Male,12-09-1992,United States Of America,Pennsylvania,Philadelphia,19112
1603,Mr. Alex Watkins,Small Business,Married,Male,02-05-1997,US,Ohio,Lorain,44052
2506,Mr. Alfred Harmon,Home Office,Divorced,Male,02-05-1998,USA,Pennsylvania,Philadelphia,19112
605,Mr. Alison Peters Wooten,Corporate,Married,Male,12-07-1997,USA,New York,New York City,10004
3137,Mr. Alison Sharp,Corporate,Married,Male,02-05-1998,United States,Pennsylvania,Philadelphia,19112
101,Mr. Claudia Boyle,Consumer,Single,Female,02-07-1990,U.S.A,Maine,Biddeford,4005
101,Mr. Claudia Boyle,Consumer,Single,Female,02-07-1990,U.S.A,Maine,Biddeford,4005
83,Mr. Edgar Stone,Corporate,Single,Male,12-07-1989,USA,Ohio,Canton,44708
83,Mr. Edgar Stone,Corporate,Single,Male,12-07-1989,USA,Ohio,Canton,44708
14,Mr. Gwendolyn F Tyson,Small Business,Single,Male,02-05-1992,USA,Minnesota,Prior Lake,55372
84,Mr. Helen Stein,Corporate,Single,Male,02-05-1991,U.S,Ohio,Cincinnati,45231
84,Mr. Helen Stein,Corporate,Single,Male,02-05-1991,U.S,Ohio,Cincinnati,45231
437,Mrs. Alice Berger McIntyre,Small Business,Married,Female,02-05-1998,USA,Ohio,Lorain,44052
70,Mrs. Annette Boone,Corporate,Married,Female,12-08-1989,US,Vermont,Burlington,5401
70,Mrs. Annette Boone,Corporate,Married,Female,12-08-1989,US,Vermont,Burlington,5401
2250,Prof. Alvin Hoover,Home Office,Married,Male,12-07-1994,USA,Pennsylvania,Philadelphia,19112
2211,Prof. Anita Hahn,Home Office,Married,Female,02-06-1991,U.S.A,Maryland,Bowie,20715
1882,Prof. Anita Kent,Home Office,Married,Female,02-09-1991,USA,New Jersey,Linden,7036
2089,Prof. Annie Odom,Corporate,Married,Female,02-05-1991,USA,New York,New City,10956
2613,Prof. Anthony Stanley,Corporate,Married,Male,02-08-1991,United States Of America,New Jersey,Fords,8863
2776,Prof. April Henson,Consumer,Married,Male,02-05-1990,U.S.A,Maryland,Gaithersburg,20877
1200,Prof. Beth English,Consumer,Single,Female,02-06-1991,U.S.A,New Jersey,Elmwood Park,7407
3269,Prof. Billie Stern,Corporate,Single,Female,02-06-1990,USA,New Jersey,North Plainfield,7060
1027,Prof. Brian Bennett,Small Business,Single,Male,02-05-1990,USA,New York,Cheektowaga,14225
2747,Prof. Brian Grady,Corporate,Single,Male,12-07-1989,United States Of America,New York,New York City,10115
263,Prof. Carlos Hess,Small Business,Single,Male,12-08-1990,USA,Ohio,Cleveland Heights,44106
1728,Prof. Carrie Lewis,Corporate,Single,Male,02-07-1990,United States Of America,Ohio,Kettering,45429
1364,Prof. Chris Ford,Home Office,Single,Male,02-05-1990,U.S.A,Maryland,Camp Springs,20746
468,Prof. Craig Bennett,Small Business,Single,Male,02-06-1990,United States Of America,Massachusetts,Hanson,2341
3366,Prof. Dana Boyle,Home Office,Widowed,Male,02-05-1990,U.S.A,Ohio,Troy,45373
1282,Prof. Dana Sharpe,Small Business,Single,Male,02-05-1990,United States Of America,Pennsylvania,Philadelphia,19134
3385,Prof. Daniel Richmond,Corporate,Widowed,Male,02-05-1990,USA,Ohio,Boardman,44512
397,Prof. Denise Carver,Corporate,Single,Male,12-10-1989,U.S.A,Ohio,Cuyahoga Falls,44221
1606,Prof. Don Rogers,Home Office,Single,Male,02-05-1991,USA,New York,Franklin Square,11010
947,Prof. Dorothy Buchanan,Home Office,Single,Male,12-08-1990,USA,New Jersey,Bayonne,7002
1151,Prof. Edna Huang,Corporate,Single,Male,12-07-1991,USA,Massachusetts,South Hadley,1075
578,Prof. Evan K Bullard,Corporate,Single,Male,02-05-1991,USA,Connecticut,Naugatuck,6770
329,Prof. Faye Dyer,Home Office,Single,Male,12-07-1992,U.S.A,Maine,Sanford,4073
2512,Prof. Frances Holt,Home Office,Single,Male,02-05-1990,United States Of America,Massachusetts,Cambridge,2138
2189,Prof. Frank Cross,Corporate,Single,Male,02-05-1989,United States Of America,New York,New York City,10177
1047,Prof. Gayle Pearson,Home Office,Single,Male,02-05-1993,United States Of America,Massachusetts,Boston,2109
898,Prof. Harriet Hodges,Small Business,Single,Male,02-05-1993,United States Of America,New York,New York City,10039
622,Prof. Hazel Khan,Home Office,Single,Male,02-05-1992,U.S.A,Maine,Auburn,4210
3138,Prof. Herbert Donnelly Swanson,Corporate,Married,Male,02-05-1992,United States Of America,New Hampshire,Londonderry,3053
2363,Prof. Jacob Murray,Home Office,Single,Male,12-07-1992,U.S.A,Ohio,Medina,44256
1679,Prof. Jeanne Nguyen,Consumer,Single,Male,12-07-1991,U.S.A,Ohio,Fairborn,45324
2660,Prof. Jeffrey Page,Small Business,Single,Male,02-05-1989,U.S.A,Maine,Gorham,4038
1191,Prof. John Morse,Small Business,Single,Female,02-05-1993,United States Of America,Connecticut,New Britain,6050
1998,Prof. Judy Frazier,Corporate,Single,Female,02-05-1996,U.S.A,New York,East Massapequa,11758
854,Prof. Karen Hendricks,Corporate,Single,Female,02-05-1992,USA,Connecticut,Branford,6405
1494,Prof. Kate Lehman,Corporate,Single,Female,02-05-1990,United States Of America,Maryland,Dundalk,21222
1226,Prof. Ken Cash,Small Business,Single,Female,02-05-1992,USA,Rhode Island,Pawtucket,2861
1439,Prof. Kyle Kaufman,Corporate,Single,Female,02-05-1994,USA,Ohio,Euclid,44117
1086,Prof. Leon Peele,Home Office,Single,Female,02-05-1988,U.S.A,New York,Dix Hills,11746
1708,Prof. Lillian Day,Small Business,Single,Female,02-05-1993,USA,Ohio,Shaker Heights,44118
727,Prof. Lindsay Link,Consumer,Single,Female,02-05-1987,United States Of America,Maine,Lewiston,4240
2693,Prof. Lloyd Cannon,Home Office,Single,Female,02-05-1987,USA,Vermont,Bennington,5201
995,Prof. Lloyd Spencer,Small Business,Single,Female,02-05-1998,United States Of America,Maine,West Scarborough,4070
1590,Prof. Lucille Buchanan,Corporate,Single,Female,12-07-1991,U.S.A,Ohio,Willoughby,44094
2338,Prof. Lynn Hines,Home Office,Single,Female,02-05-1994,United States Of America,Maryland,College Park,20740
3077,Prof. Lynne Reid,Small Business,Single,Female,02-05-1987,U.S.A,Ohio,Strongsville,44136
659,Prof. Marjorie Arthur,Consumer,Single,Female,02-05-1990,USA,Vermont,South Burlington,5403
3096,Prof. Mike Howard,Consumer,Single,Female,02-05-1996,USA,Ohio,Hilliard,43026
2534,Prof. Mitchell Goldberg,Small Business,Single,Female,02-05-1998,U.S.A,Maine,Bangor,4401
1625,Prof. Molly Browning,Home Office,Single,Female,12-07-1990,United States Of America,New York,Glen Cove,11542
487,Prof. Molly Vincent,Corporate,Single,Female,02-05-1992,U.S.A,Maine,Sanford,4073
3249,Prof. Nicole Goldstein,Corporate,Single,Female,02-05-1987,U.S.A,Maryland,Annapolis,21403
283,Prof. Pauline Boyette,Corporate,Single,Female,02-05-1993,United States Of America,New Jersey,Newark,7101
738,Prof. Peggy Rowe,Consumer,Single,Female,12-07-1988,U.S.A,New Jersey,Cranford,7016
1906,Prof. Penny Tuttle,Corporate,Single,Female,02-05-1994,United States Of America,Ohio,Lima,45801
184,Prof. Phillip Holmes,Small Business,Single,Female,02-05-1991,U.S.A,Massachusetts,Arlington,2474
1008,Prof. Priscilla Frank,Home Office,Single,Female,02-05-1998,U.S.A,Maine,Gorham,4038
2908,Prof. Robyn Lyon,Home Office,Single,Female,02-05-1997,United States Of America,Ohio,Garfield Heights,44125
344,Prof. Rosemary English,Corporate,Single,Female,02-05-1994,USA,Maine,Portland,4101
2571,Prof. Rosemary O'Brien,Consumer,Single,Female,12-07-1995,USA,New York,New York City,10165
925,Prof. Ruth Dudley,Small Business,Single,Female,02-05-1995,U.S.A,Maine,Augusta,4330
370,Prof. Sam Oh,Corporate,Single,Female,02-05-1993,United States Of America,Maine,Lewiston,4240
2877,Prof. Shannon Aldridge,Consumer,Single,Female,02-05-1994,USA,Ohio,North Olmsted,44070
2935,Prof. Shirley Riley,Small Business,Single,Female,02-05-1992,U.S.A,Massachusetts,Boston,2215
3011,Prof. Tammy Raynor,Corporate,Single,Female,02-05-1994,United States Of America,Massachusetts,Boston,2113
2952,Prof. Thelma Murray,Corporate,Single,Female,02-05-1998,USA,Ohio,Grove City,43123
3310,Prof. Tiffany Grossman Hardin,Small Business,Single,Female,02-05-1997,United States Of America,Massachusetts,Sandwich,2563
1821,Prof. Vanessa Boyer,Consumer,Single,Female,02-05-1990,U.S.A,New York,New York City,10177
585,Prof. William Larson,Corporate,Single,Female,02-05-1996,United States Of America,New Hampshire,Concord,3301
667,Professor Allison Kirby,Corporate,Married,Male,12-07-1994,US,Texas,Dallas,75203
321,Professor Arthur Lowe Nash,Consumer,Married,Male,02-06-1992,U.S,Maryland,Potomac,20854
724,Professor Beverly Cooke Brooks,Consumer,Single,Female,02-07-1990,United States,Connecticut,Stratford,6614
1217,Professor Billy Perry Browning,Small Business,Single,Female,12-10-1989,US,Massachusetts,Boston,2112
783,Professor Carlos Byrd,Small Business,Single,Male,12-10-1989,US,Connecticut,Bristol,6010
171,Professor Christina Matthews,Corporate,Single,Female,02-08-1991,U.S,New Jersey,Fort Lee,7024
2216,Professor Clara Kaplan,Corporate,Single,Female,02-05-1990,US,Ohio,Medina,44256
2867,Professor Dana Teague,Corporate,Widowed,Male,02-05-1991,US,District of Columbia,Washington,20016
737,Professor Danny Vaughn,Consumer,Single,Male,02-06-1990,U.S,New Jersey,Bloomfield,7003
946,Professor Denise Parks,Home Office,Single,Male,12-12-1989,US,Maine,Auburn,4210
657,Professor Derek McCormick,Consumer,Single,Male,02-09-1990,US,Massachusetts,Oxford,1540
472,Professor Donna Craven,Consumer,Single,Male,02-06-1990,U.S,Maryland,Randallstown,21133
3266,Professor Edgar Kumar,Corporate,Married,Male,12-07-1989,US,Maine,Sanford,4073
1199,Professor Edward Lamm,Consumer,Single,Male,02-05-1993,U.S,New Hampshire,Nashua,3060
3309,Professor Edwin Chung,Small Business,Married,Male,12-07-1992,United States,Massachusetts,Natick,1760
1026,Professor Eugene Kerr,Small Business,Single,Male,02-05-1991,US,New York,Central Islip,11722
2903,Professor Frances Powers,Small Business,Married,Male,12-07-1989,United States,Ohio,Reynoldsburg,43068
894,Professor Gail Rankin Cole,Corporate,Single,Male,02-05-1991,United States,District of Columbia,Washington,20024
1620,Professor Gerald Petty,Consumer,Single,Male,02-05-1990,United States,Pennsylvania,Lancaster,17602
1860,Professor Gina B Hess,Home Office,Single,Male,02-05-1992,US,Massachusetts,Webster,1570
2604,Professor Gina Curry,Corporate,Single,Male,02-05-1993,United States,New Jersey,Iselin,8830
1891,Professor Gretchen Levine,Home Office,Single,Male,12-07-1991,United States,Ohio,Lima,45801
2522,Professor Harriet Wooten,Home Office,Single,Male,02-05-1990,U.S,Vermont,Burlington,5401
621,Professor Heather Stern,Home Office,Single,Male,02-05-1993,U.S,Connecticut,Newington,6111
256,Professor Irene Li,Home Office,Single,Male,02-05-1990,US,Pennsylvania,Hanover,17331
3374,Professor Jamie Ward,Home Office,Married,Male,02-05-1993,US,Maryland,Odenton,21113
1438,Professor Jean Weiss Diaz,Corporate,Single,Male,02-05-1990,US,Ohio,Elyria,44035
1036,Professor Jessica Huffman,Home Office,Single,Male,02-05-1991,United States,Ohio,Dublin,43017
1170,Professor Jessie Houston,Consumer,Single,Male,02-05-1991,United States,Delaware,Newark,19711
