Customer ID,Customer Name,Customer_Segment,Maritial_Status,Gender,DOB,Country,Region,State or Province,City,Postal Code
1665,Dr. Elsie Pridgen,Consumer,Single,Male,02-05-1991,U.S.A,West,California,Laguna Hills,92653
2323,Dr. Emma Buckley,Small Business,Single,Male,02-05-1991,US,West,California,Coachella,92236
875,Dr. Erika Fink,Small Business,Single,Male,02-05-1994,U.S,West,Utah,Salt Lake City,84106
1044,Dr. Erin Ballard,Home Office,Single,Male,02-05-1994,U.S.A,West,California,Los Angeles,90004
428,Dr. Ernest Barber,Corporate,Single,Male,02-05-1992,US,West,Nevada,Carson City,89701
2931,Dr. Faye Hanna,Small Business,Married,Male,02-05-1989,U.S,West,California,El Dorado Hills,95630
218,Dr. Frances Saunders,Consumer,Single,Male,02-05-1991,United States Of America,West,Utah,Murray,84107
1186,Dr. Glenda Herbert,Consumer,Single,Male,02-05-1993,United States Of America,West,California,Huntington Beach,92646
972,Dr. Gregory Holden,Corporate,Single,Male,12-07-1990,United States,West,California,Riverside,92503
510,Dr. Gregory Rao,Corporate,Single,Male,02-05-1991,United States,West,California,Manteca,95336
3258,Dr. Gretchen Best Wilkins,Consumer,Married,Male,02-05-1991,U.S,West,Washington,Lynnwood,98037
1390,Dr. Hazel Jones,Corporate,Single,Male,02-05-1991,US,West,California,Stockton,95207
754,Dr. Helen Lyons,Consumer,Single,Male,02-05-1993,US,West,Arizona,Prescott Valley,86314
1781,Dr. Jackie Capps,Home Office,Single,Male,12-07-1990,U.S,West,California,San Carlos,94070
2385,Dr. Janice Frye,Small Business,Single,Male,12-07-1988,United States Of America,West,New Mexico,Las Cruces,88001
850,Dr. Jesse Hutchinson,Corporate,Single,Male,02-05-1989,U.S.A,West,California,Goleta,93117
920,Dr. Jessie Kelly,Consumer,Single,Male,02-05-1991,US,West,California,Redlands,92374
2801,Dr. Jimmy Wang,Home Office,Married,Male,02-05-1989,United States,West,Arizona,Chandler,85224
1271,Dr. Joanne Church,Corporate,Single,Female,12-07-1989,United States,West,California,La Mesa,91941
1852,Dr. Joy Kaplan McNeill,Home Office,Single,Female,02-05-1989,US,West,California,Carlsbad,92008
1113,Dr. Julia Reynolds,Corporate,Single,Female,02-05-1991,U.S,West,Colorado,Arvada,80004
679,Dr. Katie Dougherty,Corporate,Single,Female,02-05-1998,United States,West,Washington,Spanaway,98387
556,Dr. Kristina Sanders,Home Office,Single,Female,02-05-1989,U.S,West,Utah,Provo,84604
3148,Dr. Leroy Field,Corporate,Single,Female,12-07-1990,United States,West,Idaho,Post Falls,83854
3324,Dr. Leslie Jacobson,Consumer,Single,Female,02-05-1994,US,West,Arizona,El Mirage,85335
1950,Dr. Leslie Shannon,Small Business,Single,Female,02-05-1996,United States Of America,West,Montana,Butte,59750
2626,Dr. Lillian Fischer,Consumer,Single,Female,02-05-1994,U.S,West,California,Menlo Park,94025
604,Dr. Lindsay P Ashley,Home Office,Single,Female,02-05-1992,US,West,California,Los Angeles,90045
1316,Dr. Marion Lindsey,Home Office,Single,Female,02-05-1994,U.S,West,Colorado,Commerce City,80022
1481,Dr. Marvin MacDonald,Corporate,Single,Female,02-05-1989,United States,West,California,Los Angeles,90049
2741,Dr. Megan York,Small Business,Single,Female,02-05-1997,United States Of America,West,Idaho,Caldwell,83605
2135,Dr. Melvin Kendall,Home Office,Single,Female,02-05-1997,U.S,West,New Mexico,Clovis,88101
2828,Dr. Monica Howard,Corporate,Single,Female,02-05-1998,U.S.A,West,California,El Centro,92243
3351,Dr. Nathan Wyatt,Small Business,Single,Female,02-05-1990,United States Of America,West,Washington,Pasco,99301
698,Dr. Nelson Hensley,Corporate,Single,Female,02-05-1995,U.S.A,West,Washington,Seattle,98105
2531,Dr. Rick Houston,Small Business,Single,Female,02-05-1989,U.S.A,West,California,Atascadero,93422
164,Dr. Robin Kramer Vaughn,Home Office,Single,Female,02-05-1988,US,West,Washington,Richland,99352
1424,Dr. Robyn Zhou,Home Office,Single,Female,02-05-1989,United States Of America,West,Colorado,Englewood,80112
290,Dr. Sara O'Connor,Small Business,Single,Female,02-05-1994,U.S.A,West,Colorado,Loveland,80538
2491,Dr. Sean N Boyer,Consumer,Single,Female,02-05-1992,United States,West,California,Los Angeles,90045
945,Dr. Stephanie Sun Perry,Home Office,Single,Female,02-05-1991,United States Of America,West,California,Saratoga,95070
719,Dr. Stephen Lam,Corporate,Single,Female,02-05-1993,U.S,West,Nevada,Pahrump,89041
3005,Dr. Teresa Watts,Corporate,Single,Female,02-05-1995,US,West,Idaho,Coeur D Alene,83814
32,Miss. Matthew Berman,Corporate,Single,Female,02-05-1989,U.S,West,Oregon,Grants Pass,97526
32,Miss. Matthew Berman,Corporate,Single,Female,02-05-1989,U.S,West,Oregon,Grants Pass,97526
87,Miss. Norman Shields,Corporate,Single,Female,12-07-1996,U.S.A,West,California,Vacaville,95687
5,Miss. Ronnie Proctor,Home Office,Single,Female,12-07-1989,U.S,West,California,San Gabriel,91776
5,Miss. Ronnie Proctor,Home Office,Single,Female,12-07-1989,U.S,West,California,San Gabriel,91776
53,Miss. Sidney Russell Austin,Corporate,Single,Female,02-05-1988,US,West,Washington,Redmond,98052
43,Miss. Theodore Moran,Consumer,Single,Female,02-05-1986,United States,West,Washington,Redmond,98052
43,Miss. Theodore Moran,Consumer,Single,Female,02-05-1986,United States,West,Washington,Redmond,98052
91,Miss. Wallace Werner,Corporate,Single,Female,02-05-1991,United States,West,California,Vallejo,94591
3,Mister. Bonnie Potter,Corporate,Single,Male,02-06-1992,US,West,Washington,Anacortes,98221
3,Mister. Bonnie Potter,Corporate,Single,Male,02-06-1992,US,West,Washington,Anacortes,98221
156,Mister. Diana Xu,Corporate,Single,Male,02-05-1990,United States Of America,West,Colorado,Fort Collins,80525
27,Mister. Guy Gallagher,Corporate,Single,Male,12-07-1991,US,West,California,Lakewood,90712
27,Mister. Guy Gallagher,Corporate,Single,Male,12-07-1991,US,West,California,Lakewood,90712
522,Mr. Aaron Riggs,Small Business,Single,Male,02-05-1997,United States Of America,West,Washington,Tacoma,98408
3388,Mr. Aaron Shaffer,Corporate,Married,Male,02-05-1997,United States,West,Colorado,Grand Junction,81503
1315,Mr. Adam Saunders Gray,Home Office,Divorced,Male,02-05-1993,US,West,Colorado,Grand Junction,81503
1155,Mr. Alex Nicholson,Consumer,Single,Male,02-05-1998,U.S,West,Washington,Parkland,98444
136,Mr. Dale Gillespie,Small Business,Single,Male,02-05-1990,United States,West,California,Petaluma,94952
115,Mr. Dwight M Carr,Home Office,Single,Male,02-06-1991,US,West,Oregon,Mcminnville,97128
24,Mr. Edna Thomas,Corporate,Single,Male,02-05-1994,United States Of America,West,California,Laguna Niguel,92677
24,Mr. Edna Thomas,Corporate,Single,Male,02-05-1994,United States Of America,West,California,Laguna Niguel,92677
67,Mr. Ellen McCormick,Corporate,Single,Male,02-05-1990,U.S,West,California,Napa,94559
120,Mrs. Helen H Murphy,Corporate,Single,Male,02-05-1991,U.S.A,West,Utah,Layton,84041
19,Mrs. Jim Rodgers,Small Business,Single,Male,02-05-1993,United States,West,Montana,Missoula,59801
19,Mrs. Jim Rodgers,Small Business,Single,Male,02-05-1993,United States,West,Montana,Missoula,59801
18,Mrs. Laurie Hanna,Small Business,Single,Female,12-07-1994,U.S.A,West,Montana,Helena,59601
18,Mrs. Laurie Hanna,Small Business,Single,Female,12-07-1994,U.S.A,West,Montana,Helena,59601
117,Mrs. Linda Weiss,Home Office,Single,Female,02-05-1999,U.S,West,Washington,Seattle,98103
52,Mrs. Lorraine Kelly,Corporate,Single,Female,02-05-1996,United States Of America,West,Washington,Puyallup,98373
52,Mrs. Lorraine Kelly,Corporate,Single,Female,02-05-1996,United States Of America,West,Washington,Puyallup,98373
33,Mrs. Ricky Hensley,Corporate,Single,Female,02-05-1997,U.S.A,West,Oregon,Gresham,97030
33,Mrs. Ricky Hensley,Corporate,Single,Female,02-05-1997,U.S.A,West,Oregon,Gresham,97030
114,Mrs. Ron Newton,Home Office,Single,Female,02-05-1991,United States Of America,West,Oregon,Lake Oswego,97035
522,Prof. Aaron Riggs,Small Business,Married,Male,02-05-1997,US,West,Idaho,Boise,83704
691,Prof. Alicia Curtis,Home Office,Married,Female,02-05-1998,US,West,Washington,Tacoma,98408
2498,Prof. Arlene Long,Small Business,Married,Male,02-05-1992,US,West,California,San Diego,92024
1410,Prof. Charles Ward,Corporate,Single,Male,02-05-1991,U.S.A,West,California,Moreno Valley,92553
1383,Prof. Christina Hanna,Consumer,Single,Female,12-09-1990,United States,West,Utah,West Valley City,84120
2773,Prof. Christina Zhu,Corporate,Divorced,Female,02-09-1991,U.S,West,California,Dublin,94568
1303,Prof. Cindy Harvey,Consumer,Single,Female,02-05-1990,US,West,Utah,Tooele,84074
2489,Prof. Craig Liu,Home Office,Single,Male,02-05-1991,U.S,West,California,Concord,94521
193,Prof. Danny Hong,Corporate,Single,Male,02-05-1990,U.S.A,West,Utah,Layton,84041
493,Prof. Douglas Buck,Consumer,Single,Male,02-05-1990,U.S,West,Washington,Seatac,98158
830,Prof. Douglas Sutton,Corporate,Single,Male,02-05-1991,US,West,Colorado,Wheat Ridge,80033
1836,Prof. Dwight Albright Huffman,Corporate,Single,Male,02-06-1991,United States,West,California,San Francisco,94110
1940,Prof. Eileen McDonald,Corporate,Single,Male,12-07-1991,U.S.A,West,Utah,Draper,84020
2356,Prof. Emma Bloom,Consumer,Single,Male,12-07-1992,U.S.A,West,Wyoming,Rock Springs,82901
2868,Prof. Eugene Clayton,Corporate,Married,Male,02-05-1991,United States Of America,West,Washington,Edmonds,98026
2052,Prof. Francis Kendall,Home Office,Single,Male,02-05-1991,United States Of America,West,New Mexico,Albuquerque,87105
240,Prof. Gilbert Scarborough,Small Business,Single,Male,02-05-1991,U.S,West,Colorado,Fountain,80817
3355,Prof. Glenda Simon,Corporate,Married,Male,02-05-1993,U.S,West,California,Camarillo,93010
3075,Prof. Gordon Brandt,Corporate,Married,Male,12-07-1991,U.S,West,California,Los Angeles,90061
576,Prof. Gordon Lyon,Corporate,Single,Male,02-05-1993,United States,West,California,Pomona,91767
2164,Prof. Harry Sellers,Small Business,Single,Male,02-05-1990,United States,West,California,Pasadena,91104
268,Prof. James Beck,Home Office,Single,Male,12-07-1990,US,West,Arizona,Flagstaff,86001
786,Prof. Jason Bray,Home Office,Single,Male,02-05-1990,U.S,West,California,Mission Viejo,92691
1182,Prof. Jesse Williamson,Home Office,Single,Male,02-05-1990,U.S.A,West,Utah,Spanish Fork,84660
700,Prof. Joseph Grossman,Consumer,Single,Female,02-05-1992,United States Of America,West,California,Santa Maria,93454
317,Prof. Katherine Kearney,Corporate,Single,Female,02-05-1999,United States Of America,West,California,Lemon Grove,91945
3238,Prof. Kathleen P Bloom,Corporate,Single,Female,02-05-1990,United States Of America,West,Oregon,Corvallis,97330
1314,Prof. Keith Marsh,Home Office,Single,Female,02-05-1991,United States Of America,West,California,Los Angeles,90058
918,Prof. Kerry Jernigan,Corporate,Single,Female,12-07-1998,United States,West,California,Rancho Cucamonga,91730
1730,Prof. Kerry Wilkerson,Small Business,Single,Female,02-05-1987,United States Of America,West,Idaho,Moscow,83843
1101,Prof. Kimberly McCarthy,Small Business,Single,Female,02-05-1993,United States Of America,West,California,Oxnard,93030
553,Prof. Kristine Connolly,Corporate,Single,Female,12-07-1992,United States Of America,West,California,Los Angeles,90008
651,Prof. Leah Clapp,Consumer,Single,Female,02-05-1999,U.S,West,Nevada,Las Vegas,89115
853,Prof. Leah Davenport,Small Business,Single,Female,02-05-1987,United States Of America,West,California,Hesperia,92345
452,Prof. Leslie Rowland,Home Office,Single,Female,02-05-1995,U.S.A,West,California,Los Banos,93635
2699,Prof. Marcia Greenberg,Corporate,Single,Female,12-07-1987,U.S.A,West,Arizona,Bullhead City,86442
2639,Prof. Marianne Connor,Consumer,Single,Female,02-05-1988,United States,West,New Mexico,Roswell,88201
745,Prof. Mary Page,Consumer,Single,Female,02-05-1998,United States,West,Arizona,Peoria,85345
2823,Prof. Max Hurley,Corporate,Single,Female,02-05-1988,US,West,Nevada,North Las Vegas,89031
3017,Prof. Melvin Benton,Corporate,Single,Female,02-05-1993,U.S.A,West,California,Encinitas,92024
1041,Prof. Mildred Chase,Small Business,Single,Female,02-05-1987,US,West,California,Woodland,95695
1991,Prof. Paula Hubbard,Home Office,Single,Female,02-05-1992,US,West,Utah,Kearns,84118
3340,Prof. Phillip Blum,Consumer,Single,Female,02-05-1989,U.S.A,West,Oregon,Troutdale,97060
960,Prof. Phillip Chappell,Home Office,Single,Female,02-05-1990,U.S,West,California,Redondo Beach,90278
3196,Prof. Rick Foster Hawkins,Home Office,Single,Female,02-05-1988,US,West,California,San Francisco,94109
618,Prof. Robert Cowan,Consumer,Single,Female,02-05-1993,U.S.A,West,Colorado,Pueblo West,81007
936,Prof. Robyn Garner,Corporate,Single,Female,02-05-1992,U.S.A,West,California,Redlands,92374
3003,Prof. Roy Rouse,Home Office,Single,Female,02-05-1990,United States,West,Idaho,Coeur D Alene,83814
1257,Prof. Ryan Foster,Home Office,Single,Female,02-05-1987,U.S,West,Colorado,Aurora,80013
1636,Prof. Sidney Greenberg,Home Office,Single,Female,12-07-1997,US,West,California,Salinas,93905
762,Prof. Stuart Holloway,Small Business,Single,Female,02-05-1987,U.S.A,West,Washington,Vancouver,98661
3275,Prof. Tamara Dickinson,Small Business,Single,Female,02-05-1993,United States,West,Washington,Mount Vernon,98273
3403,Prof. Tammy Buckley,Consumer,Single,Female,12-07-1987,US,West,Wyoming,Cheyenne,82001
1121,Prof. Tonya Proctor,Consumer,Single,Female,02-05-1997,United States,West,California,Temecula,92592
369,Prof. Troy Moon,Corporate,Single,Female,12-07-1994,United States,West,California,Oakland,94601
1450,Prof. Veronica Peck,Consumer,Single,Female,12-07-1996,U.S,West,California,South Lake Tahoe,96150
1958,Prof. Vickie Martinez,Consumer,Single,Female,02-05-1997,U.S,West,Oregon,West Linn,97068
2570,Prof. Yvonne Stephens,Consumer,Single,Female,12-07-1998,United States Of America,West,California,Davis,95616
522,Professor Aaron Riggs,Small Business,Married,Male,02-05-1997,U.S,West,Idaho,Rexburg,83440
3205,Professor Alvin Mullins,Consumer,Married,Male,02-05-1995,U.S,West,Idaho,Rexburg,83440
241,Professor Amy Ellis Holder,Small Business,Married,Female,02-05-1998,U.S.A,West,Colorado,Grand Junction,81503
3350,Professor Amy York,Small Business,Married,Female,02-06-1992,United States,West,Washington,Parkland,98444
653,Professor Ann Katz,Consumer,Married,Female,02-10-1991,U.S.A,West,California,Rancho Cucamonga,91730
1183,Professor Becky O'Brien,Home Office,Single,Male,02-08-1993,United States,West,Utah,Springville,84663
961,Professor Benjamin Chan,Home Office,Single,Male,12-12-1992,U.S.A,West,California,Redwood City,94061
269,Professor Calvin Boyette,Home Office,Single,Male,02-05-1991,U.S,West,Arizona,Gilbert,85234
2825,Professor Carole Rosen,Consumer,Divorced,Male,02-05-1990,U.S,West,Idaho,Boise,83701
411,Professor Carolyn Proctor,Consumer,Single,Male,02-07-1990,United States Of America,West,California,Oakland,94601
1653,Professor Charles Cline,Corporate,Single,Male,02-05-1990,U.S,West,California,Thousand Oaks,91360
637,Professor Christopher Bryant,Consumer,Single,Female,12-12-1990,United States,West,California,Santa Clara,95051
335,Professor Curtis O'Connell,Corporate,Single,Male,12-07-1989,US,West,Oregon,Medford,97504
1949,Professor Dana Waller,Small Business,Single,Male,12-08-1990,United States,West,Montana,Bozeman,59715
3084,Professor Debbie Hsu,Small Business,Widowed,Male,02-05-1991,U.S.A,West,Washington,Lacey,98503
2376,Professor Debra Batchelor,Corporate,Single,Male,02-05-1990,United States,West,Idaho,Moscow,83843
797,Professor Eileen Riddle,Corporate,Single,Male,02-05-1992,U.S.A,West,Utah,Roy,84067
753,Professor Elisabeth Massey,Corporate,Single,Male,02-05-1990,United States Of America,West,Arizona,Prescott,86301
453,Professor George Terry,Corporate,Single,Male,12-07-1992,United States,West,California,Los Gatos,95032
833,Professor Gerald Love,Corporate,Single,Male,02-05-1989,U.S,West,California,Gilroy,95020
770,Professor Geraldine Puckett,Small Business,Single,Male,02-05-1992,United States,West,Oregon,Tualatin,97062
603,Professor Gretchen Ball,Home Office,Single,Male,02-05-1990,United States Of America,West,Colorado,Pueblo,81001
1837,Professor Herbert Williamson,Corporate,Single,Male,02-05-1992,United States Of America,West,California,San Gabriel,91776
2004,Professor James Dickinson Ball,Home Office,Single,Male,02-05-1990,U.S,West,Montana,Bozeman,59715
2530,Professor Janet Zhang,Small Business,Single,Male,02-05-1989,U.S,West,California,Apple Valley,92307
1389,Professor Jean Khan,Consumer,Single,Male,02-05-1990,United States Of America,West,California,Menlo Park,94025
1042,Professor Jerome Burch,Small Business,Single,Male,02-05-1990,U.S,West,California,Yuba City,95991
494,Professor Jimmy Alston Holder,Consumer,Single,Male,02-05-1993,U.S.A,West,Washington,Seattle,98115
2781,Professor Kelly Byers,Consumer,Single,Female,02-05-1997,U.S.A,West,Oregon,Woodburn,97071
702,Professor Kelly O'Connor,Consumer,Single,Female,02-05-1989,US,West,California,Santa Rosa,95404
937,Professor Kelly Shaw,Corporate,Single,Female,02-05-1991,United States,West,California,Redondo Beach,90278
1112,Professor Luis Kerr,Corporate,Single,Female,02-05-1998,US,West,California,Yucaipa,92399
1412,Professor Marc Ray,Corporate,Single,Female,02-05-1997,United States,West,California,Mountain View,94043
1979,Professor Marianne Weiner Ennis,Corporate,Single,Female,02-05-1990,U.S.A,West,Colorado,Littleton,80122
3287,Professor Mary Norman,Small Business,Single,Female,02-05-1997,United States Of America,West,California,Granite Bay,95746
3004,Professor Maurice Everett,Corporate,Single,Female,02-05-1998,United States Of America,West,California,Los Angeles,90049
1754,Professor Nelson Hong,Consumer,Single,Female,02-05-1998,US,West,California,Torrance,90503
2490,Professor Pauline Finch,Home Office,Single,Female,02-05-1998,U.S.A,West,California,Costa Mesa,92627
1123,Professor Peggy Lanier,Small Business,Single,Female,02-05-1988,United States Of America,West,California,Roseville,95661
2729,Professor Penny O Caldwell,Consumer,Single,Female,12-07-1990,United States,West,Washington,Bellingham,98226
693,Professor Richard McClure,Small Business,Single,Female,12-07-1995,U.S,West,Colorado,Thornton,80229
3356,Professor Richard Tan,Corporate,Single,Female,02-05-1999,U.S.A,West,Idaho,Eagle,83616
871,Professor Sandy Ellington,Home Office,Single,Female,02-05-1998,US,West,Nevada,Reno,89502
2225,Professor Sean McKenna,Small Business,Single,Female,12-07-1994,United States Of America,West,New Mexico,Hobbs,88240
3257,Professor Sharon Marcus,Consumer,Single,Female,12-07-1988,US,West,Washington,Longview,98632
1304,Professor Sherri McIntosh,Consumer,Single,Female,02-05-1986,U.S,West,Utah,West Jordan,84084
2878,Professor Susan Carroll Berman,Consumer,Single,Female,02-05-1990,US,West,Washington,Seattle,98107
194,Professor Tammy Goldman,Corporate,Single,Female,02-05-1990,United States,West,Utah,Lehi,84043
2647,Professor Teresa Bishop,Corporate,Single,Female,12-07-1990,United States Of America,West,California,Bakersfield,93309
2610,Professor Tommy Lutz,Corporate,Single,Female,02-05-1995,US,West,California,Davis,95616
3048,Professor Tracy G Starr,Corporate,Single,Female,12-07-1987,United States,West,California,Berkeley,94704
919,Professor Tracy Livingston,Consumer,Single,Female,02-05-1989,United States Of America,West,California,Redding,96003
2094,Professor Vernon Hirsch Singleton,Corporate,Single,Female,12-07-1995,US,West,California,Chico,95928
1469,Professor Vicki Zhu Daniels,Small Business,Single,Female,12-07-1990,U.S.A,West,Utah,Clearfield,84015
1261,Professor Vickie Gonzalez,Home Office,Single,Female,02-05-1996,U.S.A,West,Colorado,Broomfield,80020
555,Professor Walter Young,Corporate,Single,Female,12-07-1993,US,West,Utah,Pleasant Grove,84062
2359,Doctor Annie Horne,Home Office,Married,Female,02-06-1990,United States,South,Florida,Fort Myers,33917
2285,Doctor Arnold Floyd Blair,Corporate,Married,Male,02-06-1993,USA,South,South Carolina,Rock Hill,29730
2395,Doctor Beverly Roberts,Corporate,Single,Female,02-08-1990,USA,South,Georgia,Savannah,31401
507,Doctor Carol Saunders,Corporate,Single,Male,02-05-1990,US,South,Kentucky,Bowling Green,42104
3347,Doctor Carrie McIntosh,Consumer,Divorced,Male,02-05-1991,United States,South,Florida,Royal Palm Beach,33411
